id;nombre;bloque;criterio_efqm;definicion;formula;numerador;denominador;fuente_datos;periodicidad;estandar;responsable
IR-3;Altas por consecución de objetivos;Resultados;7. Rendimiento estratégico y operativo;Porcentaje de altas en las que se registran como alcanzados los objetivos del plan de intervención;(Altas con objetivos alcanzados / altas totales) × 100;Altas con objetivos alcanzados;Altas del periodo;Historia clínica;Anual;Línea basal en el primer año;Unidad de calidad del servicio de salud
IR-4;Reconsulta por el mismo proceso;Resultados;7. Rendimiento estratégico y operativo;Porcentaje de personas que vuelven a consultar en AP por el mismo proceso en las doce semanas posteriores al alta;(Personas que reconsultan / personas dadas de alta) × 100;Personas que reconsultan en doce semanas;Personas dadas de alta;Historia clínica;Anual;Línea basal en el primer año, con la referencia externa del anexo B;Unidad de calidad del servicio de salud
IR-5;Derivación posterior a pruebas o a atención hospitalaria;Resultados;7. Rendimiento estratégico y operativo;Porcentaje de episodios con solicitud de pruebas de imagen o derivación a atención hospitalaria en los seis meses posteriores;(Episodios con prueba o derivación / episodios cerrados) × 100;Episodios con prueba de imagen o derivación hospitalaria;Episodios cerrados;Historia clínica;Anual;Línea basal en el primer año;Unidad de calidad del servicio de salud
IR-6;Duración de la incapacidad temporal;Resultados;7. Rendimiento estratégico y operativo;Mediana de días de incapacidad temporal en los procesos de la matriz del anexo C;Mediana de días por proceso;Días de incapacidad temporal por episodio;Episodios con incapacidad temporal;Historia clínica e inspección médica;Anual;Línea basal en el primer año;Inspección médica del servicio de salud
IR-7;Uso de analgésicos y antiinflamatorios;Resultados;7. Rendimiento estratégico y operativo;Porcentaje de episodios de procesos de la matriz con prescripción de analgésicos o antiinflamatorios en los tres meses posteriores al inicio;(Episodios con prescripción / episodios iniciados) × 100;Episodios con prescripción;Episodios iniciados;Receta electrónica e historia clínica;Anual;Línea basal en el primer año;Servicio de farmacia de atención primaria
IR-8;Satisfacción de las personas atendidas;Resultados;6. Percepción de los grupos de interés;Puntuación media de satisfacción en una encuesta común tras el alta;Media de la puntuación;Suma de puntuaciones;Encuestas respondidas;Encuesta común del servicio de salud;Anual;Línea basal en el primer año;Unidad de calidad del servicio de salud
IR-9;Equidad territorial;Resultados;7. Rendimiento estratégico y operativo;Diferencia entre zonas rurales y urbanas en cobertura de personal y en tiempo hasta la primera valoración;Diferencia de IE-1 y de IE-5 entre zonas rurales y urbanas;Valores de IE-1 e IE-5 en zonas rurales;Valores de IE-1 e IE-5 en zonas urbanas;SIAP y agenda electrónica;Anual;Reducción de la diferencia en cada fase;Dirección de atención primaria
IR-10;Consultas de medicina de familia por procesos musculoesqueléticos;Resultados;7. Rendimiento estratégico y operativo;Consultas de medicina de familia con código del aparato locomotor por 1.000 habitantes y año;Consultas con código del capítulo L de la CIAP-2 / población × 1.000;Consultas de medicina de familia con código del capítulo L;Población con tarjeta sanitaria;BDCAP;Anual;Indicador de tendencia sin estándar, porque el efecto esperado no está garantizado;Dirección de atención primaria
IR-11;Demora en rehabilitación hospitalaria;Resultados;7. Rendimiento estratégico y operativo;Indicador del circuito de continuidad asistencial, no del dimensionamiento de AP: mediana de días de espera para la primera consulta de rehabilitación hospitalaria en las áreas con circuito formalizado;Mediana de días;Días de espera por paciente;Pacientes con primera consulta de rehabilitación;Sistema de información de listas de espera;Anual;Indicador de seguimiento sin estándar;Gerencias de área
IR-12;Adecuación de la radiografía simple solicitada;Resultados;7. Rendimiento estratégico y operativo;Solo si se aprueba la habilitación de la sección 7.4: porcentaje de radiografías solicitadas por fisioterapia de AP que cumplen la regla de decisión del protocolo;(Solicitudes conformes / solicitudes totales) × 100;Solicitudes conformes con la regla de decisión;Solicitudes de radiografía de fisioterapia de AP;Auditoría de historia clínica;Semestral;Estándar fijado en el protocolo consensuado con radiodiagnóstico;Unidad de calidad y servicio de radiodiagnóstico
